text,label
goodbye,exit
quit,exit
stop now,exit
exit,exit
run calc,open_calculator
search for cats,search_web
tell time,get_time
stop now,exit
start the calculator,open_calculator
do a web search,search_web
lookup today's news,search_web
start the browser,open_browser
can you open calculator,open_calculator
google machine learning,search_web
get calculator running,open_calculator
google machine learning,search_web
bring up calculator,open_calculator
go online,open_browser
time right now,get_time
quit,exit
can you tell the time,get_time
open browser,open_browser
terminate,exit
google machine learning,search_web
what's the current time,get_time
can you tell the time,get_time
start calculator,open_calculator
look up weather,search_web
open the calculator app,open_calculator
run calc,open_calculator
find this online,search_web
launch calc,open_calculator
launch calc,open_calculator
close program,exit
what's the hour,get_time
get me online,open_browser
what's the hour,get_time
google machine learning,search_web
load the browser,open_browser
current time please,get_time
quit,exit
google machine learning,search_web
time right now,get_time
go online,open_browser
load the browser,open_browser
start the calculator,open_calculator
look up weather,search_web
lookup today's news,search_web
bring up calculator,open_calculator
goodbye,exit
fire up calculator,open_calculator
goodbye,exit
open up chrome,open_browser
find this online,search_web
close this,exit
get me online,open_browser
time right now,get_time
open up chrome,open_browser
google machine learning,search_web
start the calculator,open_calculator
fire up the browser,open_browser
open the calculator app,open_calculator
fire up the browser,open_browser
open up chrome,open_browser
get me online,open_browser
do a web search,search_web
search something,search_web
go to internet,open_browser
time right now,get_time
fire up calculator,open_calculator
open browser,open_browser
close program,exit
launch calc,open_calculator
bring up calculator,open_calculator
run calc,open_calculator
load the browser,open_browser
get calculator running,open_calculator
close program,exit
can you open calculator,open_calculator
do you know the time,get_time
can you tell the time,get_time
open browser,open_browser
can you search something,search_web
goodbye,exit
close program,exit
start the browser,open_browser
fire up calculator,open_calculator
terminate,exit
fire up the browser,open_browser
get calculator running,open_calculator
can you tell the time,get_time
tell time,get_time
tell time,get_time
can you tell the time,get_time
leave,exit
do a web search,search_web
find python tutorials,search_web
start the browser,open_browser
what time is it,get_time
tell me the time,get_time
get calculator running,open_calculator
what time is it,get_time
tell time,get_time
can you search something,search_web
what's the current time,get_time
get calculator running,open_calculator
launch chrome,open_browser
show me time,get_time
can you search something,search_web
close program,exit
close program,exit
load the browser,open_browser
do a web search,search_web
open the calculator app,open_calculator
load the browser,open_browser
search the internet,search_web
close program,exit
stop now,exit
terminate,exit
stop now,exit
launch chrome,open_browser
what's the hour,get_time
terminate,exit
lookup today's news,search_web
open calculator,open_calculator
goodbye,exit
tell me the time,get_time
load the browser,open_browser
do a web search,search_web
close this,exit
what's the current time,get_time
open calculator,open_calculator
shutdown,exit
fire up calculator,open_calculator
open up chrome,open_browser
search the internet,search_web
current time please,get_time
load the browser,open_browser
show me time,get_time
turn off,exit
can you tell the time,get_time
run chrome,open_browser
search for cats,search_web
tell me the time,get_time
close this,exit
can you open calculator,open_calculator
google machine learning,search_web
launch chrome,open_browser
go to internet,open_browser
do a web search,search_web
open calculator,open_calculator
start the browser,open_browser
open calculator,open_calculator
go online,open_browser
goodbye,exit
start the browser,open_browser
lookup today's news,search_web
go online,open_browser
stop now,exit
google machine learning,search_web
bring up calculator,open_calculator
show me time,get_time
terminate,exit
close program,exit
open calculator,open_calculator
what's the hour,get_time
can you search something,search_web
find this online,search_web
launch chrome,open_browser
tell time,get_time
show me time,get_time
launch chrome,open_browser
look up weather,search_web
load the browser,open_browser
tell me the time,get_time
what's the hour,get_time
stop now,exit
open the calculator app,open_calculator
find this online,search_web
quit,exit
find python tutorials,search_web
exit,exit
current time please,get_time
start the calculator,open_calculator
terminate,exit
what's the current time,get_time
do you know the time,get_time
bring up calculator,open_calculator
terminate,exit
turn off,exit
find python tutorials,search_web
get calculator running,open_calculator
run chrome,open_browser
search the internet,search_web
open the calculator app,open_calculator
do you know the time,get_time
fire up calculator,open_calculator
load the browser,open_browser
search the internet,search_web
find this online,search_web
